Country,GDP,Life Expectancy,Tertiary Enrollment,CO2 Emissions,Population,Infant Mortality,Physicians Per Thousand
Afghanistan,19101353833.0,64.5,9.7,8672.0,38041754.0,47.9,0.28
Albania,15278077447.0,78.5,55.0,4536.0,2854191.0,7.8,1.2
Algeria,169988236398.0,76.7,51.4,150006.0,43053054.0,20.1,1.72
Angola,94635415870.0,60.8,9.3,34693.0,31825295.0,51.6,0.21
Antigua and Barbuda,1727759259.0,76.9,24.8,557.0,97118.0,5.0,2.76
Argentina,449663446954.0,76.5,90.0,201348.0,44938712.0,8.8,3.96
Armenia,13672802158.0,74.9,54.6,5156.0,2957731.0,11.0,4.4
Australia,1392680589329.0,82.7,113.1,375908.0,25766605.0,3.1,3.68
Austria,446314739528.0,81.6,85.1,61448.0,8877067.0,2.9,5.17
Azerbaijan,39207000000.0,72.9,27.7,37620.0,10023318.0,19.2,3.45
The Bahamas,12827000000.0,73.8,15.1,1786.0,389482.0,8.3,1.94
Bahrain,38574069149.0,77.2,50.5,31694.0,1501635.0,6.1,0.93
Bangladesh,302571254131.0,72.3,20.6,84246.0,167310838.0,25.1,0.58
Barbados,5209000000.0,79.1,65.4,1276.0,287025.0,11.3,2.48
Belarus,63080457023.0,74.2,87.4,58280.0,9466856.0,2.6,5.19
Belgium,529606710418.0,81.6,79.7,96889.0,11484055.0,2.9,3.07
Belize,1879613600.0,74.5,24.7,568.0,390353.0,11.2,1.12
Benin,14390709095.0,61.5,12.3,6476.0,11801151.0,60.5,0.08
Bhutan,2446674101.0,71.5,15.6,1261.0,727145.0,24.8,0.42
Bolivia,40895322865.0,71.2,,21606.0,11513100.0,21.8,1.59
Bosnia and Herzegovina,20047848435.0,77.3,23.3,21848.0,3301000.0,5.0,2.16
Botswana,18340510789.0,69.3,24.9,6340.0,2346179.0,30.0,0.37
Brazil,1839758040766.0,75.7,51.3,462299.0,212559417.0,12.8,2.15
Brunei,13469422941.0,75.7,31.4,7664.0,433285.0,9.8,1.61
Bulgaria,86000000000.0,74.9,71.0,41708.0,6975761.0,5.9,4.03
Burkina Faso,15745810235.0,61.2,6.5,3418.0,20321378.0,49.0,0.08
Burundi,3012334882.0,61.2,6.1,495.0,11530580.0,41.0,0.1
Ivory Coast,58792205642.0,57.4,9.3,9674.0,25716544.0,59.4,0.23
Cape Verde,1981845741.0,72.8,23.6,543.0,483628.0,16.7,0.77
Cambodia,27089389787.0,69.6,13.7,9919.0,16486542.0,24.0,0.17
Cameroon,38760467033.0,58.9,12.8,8291.0,25876380.0,50.6,0.09
Canada,1736425629520.0,81.9,68.9,544894.0,36991981.0,4.3,2.61
Central African Republic,2220307369.0,52.8,3.0,297.0,4745185.0,84.5,0.06
Chad,11314951343.0,54.0,3.3,1016.0,15946876.0,71.4,0.04
Chile,282318159745.0,80.0,88.5,85822.0,18952038.0,6.2,2.59
China,19910000000000.0,77.0,50.6,9893038.0,1397715000.0,7.4,1.98
Colombia,323802808108.0,77.1,55.3,97814.0,50339443.0,12.2,2.18
Comoros,1185728677.0,64.1,9.0,202.0,850886.0,51.3,0.27
Republic of the Congo,10820591131.0,64.3,12.7,3282.0,5380508.0,36.2,0.12
Costa Rica,61773944174.0,80.1,55.2,8023.0,5047561.0,7.6,2.89
Croatia,60415553039.0,78.1,67.9,17488.0,4067500.0,4.0,3.0
Cuba,100023000000.0,78.7,41.4,28284.0,11333483.0,3.7,8.42
Cyprus,24564647935.0,80.8,75.9,6626.0,1198575.0,1.9,1.95
Czech Republic,246489245495.0,79.0,64.1,102218.0,10669709.0,2.7,4.12
Democratic Republic of the Congo,47319624204.0,60.4,6.6,2021.0,86790567.0,68.2,0.07
Denmark,348078018464.0,81.0,80.6,31786.0,5818553.0,3.6,4.01
Djibouti,3318716359.0,66.6,5.3,620.0,973560.0,49.8,0.22
Dominica,596033333.0,76.6,7.2,180.0,71808.0,32.9,1.08
Dominican Republic,88941298258.0,73.9,59.9,25258.0,10738958.0,24.1,1.56
Ecuador,107435665000.0,76.8,44.9,41155.0,17373662.0,12.2,2.04
Egypt,303175127598.0,71.8,35.2,238560.0,100388073.0,18.1,0.45
El Salvador,27022640000.0,73.1,29.4,7169.0,6453553.0,11.8,1.57
Equatorial Guinea,11026774945.0,58.4,1.9,5655.0,1355986.0,62.6,0.4
Eritrea,2065001626.0,65.9,3.4,711.0,6333135.0,31.3,0.06
Estonia,31386949981.0,78.2,69.6,16590.0,1331824.0,2.1,4.48
Ethiopia,96107662398.0,66.2,8.1,14870.0,112078730.0,39.1,0.08
Fiji,5535548972.0,67.3,16.1,2046.0,889953.0,21.6,0.84
Finland,268761201365.0,81.7,88.2,45871.0,5520314.0,1.4,3.81
France,2715518274227.0,82.5,65.6,303276.0,67059887.0,3.4,3.27
Gabon,16657960228.0,66.2,8.3,5321.0,2172579.0,32.7,0.68
The Gambia,1763819048.0,61.7,2.7,532.0,2347706.0,39.0,0.1
Georgia,17743195770.0,73.6,63.9,10128.0,3720382.0,8.7,7.12
Germany,3845630030824.0,80.9,70.2,727973.0,83132799.0,3.1,4.25
Ghana,66983634224.0,63.8,15.7,16670.0,30792608.0,34.9,0.14
Greece,209852761469.0,81.3,136.6,62434.0,10716322.0,3.6,5.48
Grenada,1228170370.0,72.4,104.6,268.0,112003.0,13.7,1.41
Guatemala,76710385880.0,74.1,21.8,16777.0,16604026.0,22.1,0.35
Guinea,13590281809.0,61.2,11.6,2996.0,12771246.0,64.9,0.08
Guinea-Bissau,1340389411.0,58.0,2.6,293.0,1920922.0,54.0,0.13
Guyana,4280443645.0,69.8,11.6,2384.0,782766.0,25.1,0.8
Haiti,8498981821.0,63.7,1.1,2978.0,11263077.0,49.5,0.23
Honduras,25095395475.0,75.1,26.2,9813.0,9746117.0,15.1,0.31
Hungary,160967157504.0,75.8,48.5,45537.0,9769949.0,3.6,3.41
Iceland,24188035739.0,82.7,71.8,2065.0,361313.0,1.5,4.08
India,2611000000000.0,69.4,28.1,2407672.0,1366417754.0,29.9,0.86
Indonesia,1119190780753.0,71.5,36.3,563325.0,270203917.0,21.1,0.43
Iran,445345282123.0,76.5,68.1,661710.0,82913906.0,12.4,1.58
Iraq,234094042939.0,70.5,16.2,190061.0,39309783.0,22.5,0.71
Republic of Ireland,388698711348.0,82.3,77.8,37711.0,5007069.0,3.1,3.31
Israel,395098666122.0,82.8,63.4,65166.0,9053300.0,3.0,4.62
Italy,2001244392042.0,82.9,61.9,320411.0,60297396.0,2.6,3.98
Jamaica,16458071068.0,74.4,27.1,8225.0,2948279.0,12.4,1.31
Japan,5081769542380.0,84.2,63.2,1135886.0,126226568.0,1.8,2.41
Jordan,43743661972.0,74.4,34.4,25108.0,10101694.0,13.9,2.32
Kazakhstan,180161741180.0,73.2,61.7,247207.0,18513930.0,8.8,3.25
Kenya,95503088538.0,66.3,11.5,17910.0,52573973.0,30.6,0.16
Kiribati,194647202.0,68.1,,66.0,117606.0,41.2,0.2
Kuwait,134761198946.0,75.4,54.4,98734.0,4207083.0,6.7,2.58
Kyrgyzstan,8454619608.0,71.4,41.3,9787.0,6456900.0,16.9,1.88
Laos,18173839128.0,67.6,15.0,17763.0,7169455.0,37.6,0.37
Latvia,34117202555.0,74.7,88.1,7004.0,1912789.0,3.3,3.19
Lebanon,53367042272.0,78.9,26.3,24796.0,6855713.0,6.4,2.1
Lesotho,2460072444.0,53.7,10.2,2512.0,2125268.0,65.7,0.07
Liberia,3070518100.0,63.7,11.9,1386.0,4937374.0,53.5,0.04
Libya,52076250948.0,72.7,60.5,50564.0,6777452.0,10.2,2.09
Lithuania,54219315600.0,75.7,72.4,12963.0,2786844.0,3.3,6.35
Luxembourg,71104919108.0,82.1,19.2,8988.0,645397.0,1.9,3.01
Madagascar,14083906357.0,66.7,5.4,3905.0,26969307.0,38.2,0.18
Malawi,7666704427.0,63.8,0.8,1298.0,18628747.0,35.3,0.04
